Frame,X_UL,Y_UL,W,H,PDET
1,1290.14111328125,456.527526855469,73.1739501953125,202.073913574219,0.99997044
1,1694.08081054688,382.104125976562,163.293701171875,355.734741210938,0.99996316
1,256.555297851562,448.867706298828,99.5837097167969,261.375030517578,0.9999403
1,1252.27111816406,533.160034179688,61.714599609375,125.431213378906,0.9852688
2,1292.62963867188,456.762359619141,72.43408203125,202.957855224609,0.9999912
2,258.869415283203,449.262939453125,100.242126464844,266.475524902344,0.99997354
2,1688.34704589844,382.980926513672,164.113037109375,355.589935302734,0.9999571
2,1257.4775390625,532.39697265625,57.9464111328125,125.893493652344,0.9964072
3,1294.048828125,456.107604980469,72.1092529296875,204.267761230469,0.9999771
3,1688.80310058594,382.510833740234,163.273681640625,356.626312255859,0.999969
3,260.462066650391,452.803253173828,103.567993164062,257.607879638672,0.99982446
3,1260.17614746094,534.003356933594,57.3953857421875,128.084411621094,0.99964046
4,1296.56481933594,457.979522705078,70.45751953125,207.165985107422,0.99999964
4,1689.31848144531,381.113311767578,161.252319335938,359.306793212891,0.99998033
4,261.703247070312,453.349426269531,105.068389892578,256.86962890625,0.9997688
4,1262.89001464844,535.068481445312,58.4644775390625,126.651672363281,0.9994442
5,1297.92211914062,455.316040039062,73.661865234375,209.096984863281,0.99999917
5,267.519226074219,446.665649414062,103.027099609375,264.206909179688,0.9999907
5,1686.66735839844,379.855651855469,163.766967773438,362.242614746094,0.99997604
5,1267.66369628906,535.688110351562,53.458984375,127.494079589844,0.9999509
6,1301.38403320312,453.913116455078,74.0526123046875,205.939849853516,0.99999917
6,267.044555664062,446.286773681641,106.842376708984,263.527679443359,0.99997807
6,1685.67749023438,383.305816650391,164.877197265625,361.444549560547,0.99994314
6,1269.89404296875,535.924560546875,52.396728515625,127.560913085938,0.99993885
7,1303.92993164062,452.567993164062,74.8468017578125,207.988037109375,0.9999974
7,270.335845947266,446.015625,104.724365234375,263.517822265625,0.99997985
7,1685.75573730469,381.04296875,159.874877929688,363.934814453125,0.9999733
7,1270.55932617188,537.453369140625,53.6461181640625,124.338500976562,0.99955565
8,273.733367919922,444.810577392578,101.362030029297,269.706207275391,0.9999951
8,1305.35192871094,452.706359863281,76.0091552734375,208.316467285156,0.9999932
8,1685.69470214844,381.586761474609,159.242309570312,362.736480712891,0.9999747
8,1271.86804199219,536.289123535156,52.2943115234375,125.636596679688,0.9998173
9,1306.220703125,450.63720703125,77.3182373046875,213.967895507812,0.99998844
9,276.774261474609,447.711059570312,103.531982421875,262.807250976562,0.99995744
9,1683.6171875,383.497467041016,160.499755859375,363.458282470703,0.99994934
9,1271.74499511719,534.982055664062,53.830078125,127.924377441406,0.9998616
10,1681.49279785156,383.919494628906,162.011962890625,364.461730957031,0.9999356
10,1307.8134765625,454.490539550781,78.975341796875,206.168334960938,0.9999043
10,1274.64758300781,536.7978515625,51.68896484375,126.73486328125,0.9998909
10,279.720916748047,447.57177734375,101.661865234375,261.857543945312,0.9998503
11,1310.33117675781,452.429138183594,77.4393310546875,209.893676757812,0.99997115
11,1678.32238769531,384.510375976562,163.055908203125,369.07861328125,0.99994314
11,1276.74084472656,537.521728515625,50.899658203125,126.175598144531,0.99990106
11,283.130676269531,447.674224853516,97.5278015136719,261.042449951172,0.9998216
12,1309.92211914062,452.811157226562,80.19970703125,206.454895019531,0.9999974
12,1678.75659179688,383.794830322266,161.31494140625,366.520111083984,0.99996436
12,1280.13916015625,536.604675292969,50.5408935546875,127.835632324219,0.99990344
12,281.137359619141,446.343811035156,104.187774658203,262.389587402344,0.9994629
13,1310.99682617188,453.495178222656,80.1800537109375,209.391052246094,0.9999969
13,1283.09411621094,536.655395507812,50.2838134765625,128.049682617188,0.999962
13,1674.6806640625,381.641662597656,163.78955078125,370.343322753906,0.99996114
14,1312.89611816406,453.994537353516,79.656494140625,207.890777587891,0.9999933
14,288.593933105469,442.461395263672,98.2946166992188,265.320281982422,0.99999094
14,1670.0234375,379.852294921875,169.811157226562,375.057922363281,0.9999509
14,1285.29809570312,537.075439453125,49.787841796875,128.0546875,0.99991643
15,1315.36291503906,455.311828613281,79.0364990234375,204.123352050781,0.9999771
15,1669.08642578125,373.873870849609,166.796508789062,379.696929931641,0.999966
15,1288.49951171875,535.263793945312,50.8455810546875,129.501708984375,0.9997937
15,1,223.849075317383,211.192367553711,713.98014831543,0.6599189
16,290.565246582031,443.990783691406,101.745330810547,261.561401367188,0.99999297
16,1666.76782226562,372.7216796875,166.899169921875,379.317077636719,0.9999728
16,1316.21459960938,455.988159179688,80.175537109375,205.000305175781,0.9999726
16,1290.90539550781,535.193054199219,51.59375,129.145141601562,0.99955684
16,1,220.761413574219,215.792572021484,728.365905761719,0.9246516
17,294.134826660156,444.409606933594,98.9017333984375,262.2607421875,0.9999869
17,1291.76477050781,536.428161621094,50.27880859375,127.463806152344,0.9999262
17,1317.87316894531,456.704650878906,79.885009765625,203.798217773438,0.99990416
17,1664.15026855469,373.400177001953,168.466186523438,378.273284912109,0.9999032
17,1,216.526779174805,212.837585449219,719.950637817383,0.9970029
18,301.2529296875,446.056457519531,97.4000854492188,259.957214355469,0.99988544
18,1654.89416503906,371.312835693359,176.514038085938,383.417022705078,0.999881
18,1293.12841796875,536.337829589844,51.160888671875,127.396240234375,0.99985874
18,1319.66040039062,457.229522705078,78.766357421875,203.984222412109,0.9995902
18,1,224.205657958984,230.056304931641,710.129608154297,0.9755339
19,1293.44055175781,535.288452148438,51.194580078125,129.973571777344,0.9999808
19,1653.88049316406,370.355010986328,173.322143554688,387.541900634766,0.9999701
19,305.761291503906,445.546539306641,96.568603515625,258.993682861328,0.9994029
19,1321.61608886719,457.868621826172,78.1348876953125,202.467742919922,0.9986141
19,1,223.391937255859,242.851104736328,709.997344970703,0.9961319
20,1324.708984375,457.863403320312,71.708251953125,206.087890625,0.9999988
20,1651.03588867188,370.173370361328,173.001342773438,390.264251708984,0.999979
20,1294.54626464844,535.551147460938,51.9622802734375,129.981506347656,0.9999684
20,309.098724365234,445.997985839844,96.7490539550781,262.075134277344,0.9998387
20,1,229.720474243164,263.561676025391,699.861129760742,0.93139446
21,1324.89562988281,457.312164306641,72.0250244140625,207.110260009766,0.99999857
21,1647.56665039062,371.320709228516,174.071044921875,390.539215087891,0.9999815
21,1295.25903320312,535.807006835938,52.9395751953125,129.90087890625,0.99997544
21,310.228393554688,447.789703369141,99.1471862792969,262.467376708984,0.99972874
21,1,228.716583251953,269.700744628906,708.476226806641,0.9391571
22,1325.99719238281,457.950225830078,71.52734375,206.100067138672,0.99999833
22,1648.35656738281,372.321014404297,172.289306640625,390.043121337891,0.9999814
22,1296.52990722656,535.348449707031,52.53076171875,130.230407714844,0.99985015
22,310.204772949219,451.580627441406,97.4122314453125,255.713562011719,0.991156
22,1,232.979827880859,284.922271728516,709.632720947266,0.93879926
23,1327.30737304688,458.547180175781,71.66943359375,205.431579589844,0.9999982
23,309.321166992188,450.054351806641,99.6076354980469,256.074493408203,0.9999968
23,1644.09387207031,375.256774902344,175.255126953125,387.775329589844,0.99997497
23,1,229.548263549805,307.946685791016,711.55842590332,0.705636
24,1327.03063964844,457.9111328125,71.9339599609375,206.202209472656,0.99999785
24,1639.06164550781,376.923492431641,178.748046875,386.501617431641,0.99996245
24,311.022033691406,449.225799560547,99.9410705566406,261.623138427734,0.99993515
24,1300.51550292969,536.41015625,50.119140625,128.471435546875,0.9999224
25,1327.52990722656,457.551879882812,73.0206298828125,207.491271972656,0.99999774
25,1635.86987304688,377.558898925781,178.871459960938,387.068786621094,0.9999659
25,1825.29125976562,322.510955810547,96.708740234375,441.530120849609,0.9998944
25,303.48388671875,448.302429199219,106.199890136719,263.555908203125,0.9998252
25,1,221.236923217773,335.821166992188,704.029067993164,0.8153567
26,1328.03039550781,457.810546875,72.8426513671875,206.257995605469,0.99999726
26,310.879302978516,450.948272705078,101.788818359375,255.729522705078,0.99999714
26,1632.73522949219,376.424163818359,181.560546875,389.190521240234,0.99995184
26,1822.76525878906,329.128173828125,99.2347412109375,443.772094726562,0.9999454
26,1,219.814697265625,357.273132324219,705.345581054688,0.5760287
27,1328.02380371094,457.744537353516,73.1591796875,207.039337158203,0.9999975
27,314.930145263672,448.810974121094,99.9364929199219,257.815979003906,0.99999595
27,1630.607421875,373.399383544922,182.2880859375,394.905120849609,0.999959
27,1823.76281738281,318.987518310547,98.2371826171875,449.478607177734,0.9999442
27,1303.50573730469,536.602722167969,51.9200439453125,127.96533203125,0.9998778
27,1,215.102874755859,371.697509765625,712.255645751953,0.51564115
28,1328.79479980469,457.683258056641,73.6361083984375,208.008270263672,0.9999968
28,1633.85668945312,371.417266845703,171.82958984375,400.581146240234,0.99998283
28,1305.49755859375,534.3154296875,50.6885986328125,131.229797363281,0.99995697
